165558318,016, 174.78,  41.01,-172.25,   -0.23,    0.08,    0.26,-0.058, 0.006,-0.048,-376.0, -27.0, -67.0
165558328,016, 174.78,  41.01,-172.25,   -0.26,    0.25,    0.23,-0.058, 0.006,-0.048,-379.0, -26.0, -68.0
165558338,016, 174.77,  41.01,-172.26,   -0.05,   -0.03,    0.25,-0.049, 0.002,-0.074,-379.0, -26.0, -68.0
165558348,016, 174.77,  41.01,-172.26,   -0.03,    0.29,    0.00,-0.049, 0.002,-0.074,-379.0, -28.0, -69.0
165558358,016, 174.77,  41.01,-172.25,   -0.12,    0.06,   -0.10,-0.038, 0.006,-0.081,-376.0, -28.0, -68.0
165558368,016, 174.78,  41.01,-172.25,    0.05,    0.03,   -0.24,-0.038, 0.006,-0.081,-378.0, -27.0, -69.0
165558378,016, 174.78,  41.01,-172.25,    0.02,    0.24,   -0.09,-0.043, 0.004,-0.069,-378.0, -27.0, -69.0
165558387,016, 174.78,  41.01,-172.25,   -0.05,   -0.13,   -0.09,-0.043, 0.004,-0.069,-378.0, -26.0, -69.0
165558397,016, 174.78,  41.01,-172.25,   -0.05,   -0.04,   -0.05,-0.061, 0.009,-0.070,-379.0, -27.0, -67.0
165558407,016, 174.78,  41.01,-172.25,    0.12,   -0.01,    0.05,-0.061, 0.009,-0.070,-379.0, -26.0, -69.0
165558417,016, 174.78,  41.01,-172.25,   -0.05,   -0.15,   -0.12,-0.049,-0.005,-0.070,-379.0, -27.0, -69.0
165558427,016, 174.77,  41.02,-172.25,   -0.07,    0.03,    0.02,-0.049,-0.005,-0.070,-379.0, -27.0, -69.0
165558437,016, 174.78,  41.02,-172.25,    0.26,    0.01,    0.23,-0.040,-0.003,-0.063,-376.0, -28.0, -67.0
165558447,016, 174.78,  41.02,-172.25,    0.02,   -0.08,    0.04,-0.040,-0.003,-0.063,-380.0, -27.0, -68.0
165558457,016, 174.77,  41.02,-172.26,   -0.03,    0.04,    0.00,-0.061,-0.000,-0.064,-378.0, -26.0, -69.0
165558467,016, 174.77,  41.02,-172.26,    0.09,   -0.15,    0.09,-0.061,-0.000,-0.064,-378.0, -26.0, -69.0
165558477,016, 174.77,  41.02,-172.26,    0.04,    0.06,   -0.03,-0.055, 0.006,-0.081,-380.0, -27.0, -68.0
165558487,016, 174.77,  41.02,-172.26,   -0.02,   -0.08,   -0.17,-0.055, 0.006,-0.081,-379.0, -27.0, -70.0
165558497,016, 174.77,  41.02,-172.25,   -0.02,   -0.10,   -0.10,-0.048, 0.007,-0.068,-376.0, -27.0, -68.0
165558507,016, 174.78,  41.02,-172.25,    0.18,   -0.24,   -0.05,-0.048, 0.007,-0.068,-376.0, -27.0, -68.0
165558517,016, 174.78,  41.02,-172.25,    0.14,   -0.13,    0.16,-0.067, 0.007,-0.070,-375.0, -27.0, -69.0
165558527,016, 174.78,  41.02,-172.25,    0.11,    0.13,    0.19,-0.067, 0.007,-0.070,-378.0, -27.0, -70.0
165558537,016, 174.78,  41.02,-172.25,    0.00,    0.08,    0.05,-0.054,-0.001,-0.058,-378.0, -27.0, -69.0
165558547,016, 174.77,  41.02,-172.26,   -0.26,   -0.01,    0.12,-0.054,-0.001,-0.058,-378.0, -27.0, -69.0
165558557,016, 174.77,  41.02,-172.25,   -0.07,   -0.24,    0.00,-0.046, 0.007,-0.067,-378.0, -27.0, -70.0
165558567,016, 174.78,  41.02,-172.25,   -0.03,    0.01,   -0.12,-0.046, 0.007,-0.067,-379.0, -27.0, -69.0
165558577,016, 174.78,  41.02,-172.25,   -0.05,    0.25,   -0.02,-0.054, 0.016,-0.071,-379.0, -27.0, -68.0
165558587,016, 174.78,  41.02,-172.25,    0.12,    0.34,    0.07,-0.054, 0.016,-0.071,-379.0, -27.0, -68.0
165558597,016, 174.78,  41.02,-172.25,   -0.03,    0.17,   -0.02,-0.041, 0.011,-0.070,-376.0, -27.0, -68.0
165558607,016, 174.78,  41.02,-172.25,   -0.05,    0.10,   -0.10,-0.041, 0.011,-0.070,-378.0, -27.0, -69.0
165558617,016, 174.78,  41.02,-172.25,    0.04,   -0.11,    0.09,-0.048,-0.007,-0.059,-380.0, -27.0, -68.0
165558627,016, 174.78,  41.02,-172.25,    0.18,   -0.04,   -0.02,-0.048,-0.007,-0.059,-380.0, -27.0, -68.0
165558637,032, 174.78,  41.02,-172.25,    0.14,    0.24,   -0.02,-0.064,-0.000,-0.084,-376.0, -26.0, -67.0
165558647,032, 174.78,  41.02,-172.25,   -0.23,    0.13,   -0.09,-0.064,-0.000,-0.084,-379.0, -27.0, -69.0
165558657,016, 174.78,  41.02,-172.25,   -0.07,    0.04,    0.04,-0.040, 0.001,-0.055,-381.0, -28.0, -67.0
165558667,016, 174.78,  41.02,-172.25,   -0.26,    0.03,   -0.12,-0.040, 0.001,-0.055,-381.0, -28.0, -67.0
165558677,016, 174.78,  41.02,-172.25,   -0.02,    0.20,   -0.09,-0.051, 0.016,-0.081,-378.0, -26.0, -68.0
165558687,016, 174.78,  41.01,-172.25,    0.04,    0.24,   -0.07,-0.051, 0.016,-0.081,-376.0, -27.0, -69.0
165558697,016, 174.78,  41.01,-172.25,   -0.09,    0.31,    0.09,-0.055, 0.004,-0.078,-378.0, -27.0, -69.0
165558707,016, 174.77,  41.01,-172.25,    0.00,    0.06,    0.33,-0.055, 0.004,-0.078,-378.0, -27.0, -69.0
165558717,016, 174.77,  41.01,-172.25,    0.04,    0.06,    0.16,-0.048, 0.011,-0.067,-378.0, -27.0, -69.0
165558727,016, 174.77,  41.01,-172.25,   -0.09,   -0.15,    0.05,-0.048, 0.011,-0.067,-380.0, -27.0, -69.0
165558737,016, 174.78,  41.01,-172.25,    0.18,    0.04,    0.00,-0.044,-0.003,-0.071,-378.0, -28.0, -69.0
165558747,016, 174.78,  41.01,-172.25,    0.16,    0.04,    0.19,-0.044,-0.003,-0.071,-378.0, -28.0, -69.0
165558757,016, 174.78,  41.02,-172.25,    0.12,   -0.45,    0.09,-0.049,-0.003,-0.070,-378.0, -26.0, -68.0
165558767,016, 174.78,  41.02,-172.25,    0.04,   -0.03,    0.00,-0.049,-0.003,-0.070,-379.0, -27.0, -69.0
165558777,016, 174.78,  41.02,-172.25,   -0.05,    0.27,   -0.19,-0.045, 0.010,-0.068,-378.0, -27.0, -69.0
165558787,016, 174.78,  41.02,-172.25,    0.05,    0.27,   -0.10,-0.045, 0.010,-0.068,-378.0, -27.0, -69.0
165558797,016, 174.78,  41.02,-172.25,    0.04,   -0.15,    0.05,-0.053, 0.011,-0.071,-378.0, -26.0, -68.0
165558807,016, 174.78,  41.02,-172.25,   -0.17,   -0.17,   -0.16,-0.053, 0.011,-0.071,-378.0, -27.0, -69.0
165558817,016, 174.78,  41.02,-172.24,   -0.02,    0.15,   -0.26,-0.054,-0.004,-0.050,-379.0, -27.0, -68.0
165558827,016, 174.78,  41.02,-172.25,    0.16,    0.15,    0.14,-0.054,-0.004,-0.050,-379.0, -27.0, -68.0
165558837,016, 174.78,  41.01,-172.25,    0.05,    0.31,    0.21,-0.045,-0.011,-0.048,-379.0, -27.0, -67.0
165558847,016, 174.78,  41.01,-172.25,   -0.09,    0.13,    0.09,-0.045,-0.011,-0.048,-380.0, -28.0, -69.0
165558857,016, 174.78,  41.01,-172.25,   -0.09,   -0.03,    0.16,-0.045, 0.016,-0.059,-376.0, -27.0, -68.0
165558867,016, 174.78,  41.01,-172.25,    0.18,    0.03,    0.02,-0.051, 0.016,-0.059,-376.0, -27.0, -67.0
165558877,016, 174.78,  41.01,-172.25,    0.14,   -0.18,   -0.02,-0.051, 0.010,-0.059,-376.0, -27.0, -67.0
165558887,016, 174.78,  41.01,-172.24,    0.09,   -0.04,   -0.12,-0.056, 0.010,-0.064,-378.0, -28.0, -68.0
165558897,016, 174.79,  41.01,-172.24,    0.14,    0.01,   -0.09,-0.056, 0.009,-0.064,-378.0, -28.0, -68.0
165558907,016, 174.79,  41.02,-172.24,   -0.03,   -0.36,    0.14,-0.051, 0.006,-0.079,-378.0, -27.0, -69.0
165558917,016, 174.79,  41.02,-172.24,   -0.07,    0.03,   -0.05,-0.051, 0.006,-0.079,-378.0, -27.0, -69.0
165558927,016, 174.79,  41.02,-172.24,    0.07,    0.18,   -0.07,-0.051, 0.015,-0.042,-379.0, -27.0, -69.0
165558937,016, 174.79,  41.02,-172.23,   -0.16,   -0.03,   -0.24,-0.051, 0.015,-0.042,-378.0, -28.0, -68.0
165558947,016, 174.79,  41.02,-172.23,   -0.37,   -0.18,   -0.14,-0.060,-0.001,-0.055,-376.0, -27.0, -68.0
165558957,016, 174.79,  41.02,-172.23,   -0.05,   -0.17,   -0.19,-0.060,-0.001,-0.055,-376.0, -27.0, -68.0
